id_hora_aula,dia_semana,hora_inicio,hora_fin
1,1,7:00,8:00
2,1,8:00,9:00
3,1,9:00,10:00
4,1,10:00,11:00
5,1,11:00,12:00
6,1,12:00,13:00
7,1,13:00,14:00
8,1,14:00,15:00
9,1,15:00,16:00
10,1,16:00,17:00
11,1,17:00,18:00
12,1,18:00,19:00
13,1,19:00,20:00
14,1,20:00,21:00
15,2,7:00,8:00
16,2,8:00,9:00
17,2,9:00,10:00
18,2,10:00,11:00
19,2,11:00,12:00
20,2,12:00,13:00
21,2,13:00,14:00
22,2,14:00,15:00
23,2,15:00,16:00
24,2,16:00,17:00
25,2,17:00,18:00
26,2,18:00,19:00
27,2,19:00,20:00
28,2,20:00,21:00
29,3,7:00,8:00
30,3,8:00,9:00
31,3,9:00,10:00
32,3,10:00,11:00
33,3,11:00,12:00
34,3,12:00,13:00
35,3,13:00,14:00
36,3,14:00,15:00
37,3,15:00,16:00
38,3,16:00,17:00
39,3,17:00,18:00
40,3,18:00,19:00
41,3,19:00,20:00
42,3,20:00,21:00
43,4,7:00,8:00
44,4,8:00,9:00
45,4,9:00,10:00
46,4,10:00,11:00
47,4,11:00,12:00
48,4,12:00,13:00
49,4,13:00,14:00
50,4,14:00,15:00
51,4,15:00,16:00
52,4,16:00,17:00
53,4,17:00,18:00
54,4,18:00,19:00
55,4,19:00,20:00
56,4,20:00,21:00
57,5,7:00,8:00
58,5,8:00,9:00
59,5,9:00,10:00
60,5,10:00,11:00
61,5,11:00,12:00
62,5,12:00,13:00
63,5,13:00,14:00
64,5,14:00,15:00
65,5,15:00,16:00
66,5,16:00,17:00
67,5,17:00,18:00
68,5,18:00,19:00
69,5,19:00,20:00
70,5,20:00,21:00
71,6,7:00,8:00
72,6,8:00,9:00
73,6,9:00,10:00
74,6,10:00,11:00
75,6,11:00,12:00
76,6,12:00,13:00
77,6,13:00,14:00
78,6,14:00,15:00
79,6,15:00,16:00
80,6,16:00,17:00
81,6,17:00,18:00
82,6,18:00,19:00
83,6,19:00,20:00
84,6,20:00,21:00
